order_id,customer_id,order_date,order_status,channel
O1001,1,2024-05-01,Completed,Web
O1002,2,2024-05-02,Completed,Mobile
O1003,3,2024-05-03,Shipped,Web
O1004,4,2024-05-04,Completed,Marketplace
O1005,5,2024-05-05,Completed,Web
O1006,1,2024-05-08,Completed,Mobile
O1007,6,2024-05-09,Shipped,Web
O1008,7,2024-05-10,Cancelled,Web
O1009,8,2024-05-12,Completed,Marketplace
O1010,9,2024-05-13,Completed,Mobile
O1011,10,2024-05-14,Shipped,Web
O1012,2,2024-05-16,Completed,Web
O1013,3,2024-05-18,Completed,Mobile
O1014,4,2024-05-20,Completed,Web
O1015,5,2024-05-22,Shipped,Marketplace
O1016,6,2024-05-24,Completed,Web
O1017,7,2024-05-26,Completed,Mobile
O1018,8,2024-05-28,Cancelled,Web
O1019,9,2024-05-30,Completed,Web
O1020,10,2024-06-01,Completed,Marketplace
