order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI001,O1001,P001,2,29.99,0
OI002,O1001,P008,1,19.99,0
OI003,O1002,P002,1,79.99,10
OI004,O1003,P007,1,199.00,5
OI005,O1004,P003,1,249.99,0
OI006,O1005,P005,3,8.75,0
OI007,O1006,P006,2,24.99,0
OI008,O1007,P004,1,189.99,15
OI009,O1008,P001,1,29.99,0
OI010,O1009,P002,2,79.99,10
OI011,O1010,P007,1,199.00,0
OI012,O1011,P008,3,19.99,0
OI013,O1012,P001,1,29.99,0
OI014,O1012,P006,2,24.99,0
OI015,O1013,P003,1,249.99,10
OI016,O1014,P005,4,8.75,0
OI017,O1015,P002,1,79.99,0
OI018,O1016,P004,1,189.99,0
OI019,O1017,P007,1,199.00,5
OI020,O1018,P008,2,19.99,0
OI021,O1019,P001,2,29.99,0
OI022,O1019,P006,1,24.99,0
OI023,O1020,P003,1,249.99,20
